Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions,Frequency [Classical]_nor,Frequency [Country]_nor,Frequency [EDM]_nor,Frequency [Folk]_nor,Frequency [Gospel]_nor,Frequency [Hip hop]_nor,Frequency [Jazz]_nor,Frequency [K pop]_nor,Frequency [Latin]_nor,Frequency [Lofi]_nor,Frequency [Metal]_nor,Frequency [Pop]_nor,Frequency [R&B]_nor,Frequency [Rap]_nor,Frequency [Rock]_nor,Frequency [Video game music]_nor,weighted_danceability,weighted_energy,weighted_loudness,weighted_mode,weighted_speechiness,weighted_acousticness,weighted_instrumentalness,weighted_liveness,weighted_valence,weighted_metric_depression,weighted_metric_anxiety,weighted_metric_ocd,weighted_metric_insomnia
8/27/2022 19:29:02,18.0,Spotify,3.0,Yes,Yes,Yes,Latin,Yes,Yes,156.0,1,0,1,0,0,2,0,3,3,1,0,3,2,3,0,2,3.0,0.0,1.0,0.0,,I understand.,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.0,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.0,0.09523809523809523,0.6080345168739849,0.6296073266843479,-5.307489802711079,0.5059029150518511,0.10737241740174719,0.1513179231375795,0.018355903025428902,0.14763522203486032,0.4780427940451983,0.10903453844630315,0.2998050315697374,0.006043956043956043,0.15734928470222587
8/27/2022 19:57:31,63.0,Pandora,1.5,Yes,No,No,Rock,Yes,No,119.0,2,0,0,1,2,1,3,1,2,1,0,2,2,1,3,1,7.0,2.0,2.0,1.0,,I understand.,0.09090909090909091,0.0,0.0,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.5072803240897293,0.5071661553559701,-7.149865777316386,0.5368992033111956,0.07113152452173874,0.264369662647195,0.050670806693803715,0.14619811603687521,0.4261436061958673,0.10250861141235472,0.2380258363146064,0.007354312354312354,0.11911738736605046
8/27/2022 21:28:18,18.0,Spotify,4.0,No,No,No,Video game music,No,Yes,132.0,0,0,3,0,0,1,1,3,0,2,2,1,0,1,1,3,7.0,7.0,10.0,2.0,No effect,I understand.,0.0,0.0,0.16666666666666666,0.0,0.0,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.5541038888383747,0.646763081483502,-5.510337941241841,0.45010153361217187,0.09167692272837484,0.13326945272035925,0.05516967289882049,0.1586682384271888,0.42501165511911254,0.11553348974917603,0.3372741746271158,0.012336182336182335,0.18646765543824367
8/27/2022 21:40:40,61.0,YouTube Music,2.5,Yes,No,Yes,Jazz,Yes,Yes,84.0,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,9.0,7.0,3.0,3.0,Improve,I understand.,0.10526315789473684,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.4598107496012759,0.43366217288676234,-6.665309617224879,0.4995055821371611,0.04907854545454546,0.2883133690590111,0.04345424242344498,0.12786982296650717,0.3808706905901116,0.0961190855927698,0.19251461988304092,0.0017543859649122805,0.10200425305688464
8/27/2022 21:54:47,18.0,Spotify,4.0,Yes,No,No,R&B,Yes,No,107.0,0,0,1,0,1,3,0,3,2,2,0,2,3,3,0,1,7.0,2.0,5.0,9.0,Improve,I understand.,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.14285714285714285,0.0,0.14285714285714285,0.09523809523809523,0.09523809523809523,0.0,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.047619047619047616,0.607996350918585,0.6181193635678741,-5.439758095568734,0.5009884205628886,0.11700713435854926,0.1573975519275051,0.012870823302462666,0.15355987207119123,0.4753730782857804,0.08821276762453233,0.25767604944075534,0.003418803418803419,0.13553887289181407
8/27/2022 21:56:50,18.0,Spotify,5.0,Yes,Yes,Yes,Jazz,Yes,Yes,86.0,1,2,0,0,0,2,3,3,1,3,1,3,3,3,3,0,8.0,8.0,7.0,7.0,Improve,I understand.,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.0,0.5339146704684204,0.5377846304972804,-6.430084870684871,0.49526973026973026,0.08888128134365635,0.22324921799958095,0.039537873072320734,0.14281993126318127,0.4352008909423909,0.10427340633222984,0.24511268143621084,0.007499999999999999,0.14874872676343265
8/27/2022 22:00:29,18.0,YouTube Music,3.0,Yes,Yes,No,Video game music,Yes,Yes,66.0,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,4.0,8.0,6.0,0.0,Improve,I understand.,0.125,0.0,0.0625,0.125,0.0625,0.0625,0.125,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.125,0.4671243333601977,0.47493323196862247,-6.952456716097141,0.4777490328820117,0.06526346457930368,0.2660284119815589,0.06281779547600608,0.1441225095637223,0.3759080360654416,0.10528846153846154,0.26629564879564877,0.007724358974358974,0.13712606837606836
8/27/2022 22:18:59,21.0,Spotify,1.0,Yes,No,No,K pop,Yes,Yes,95.0,0,0,1,0,0,3,1,3,0,2,0,2,2,1,0,1,5.0,3.0,5.0,3.0,Improve,I understand.,0.0,0.0,0.0625,0.0,0.0,0.1875,0.0625,0.1875,0.0,0.125,0.0,0.125,0.125,0.0625,0.0,0.0625,0.592214018855701,0.5866211809124385,-5.575346441284779,0.4323083742498636,0.11157185189920894,0.17764435969039824,0.029521339977780617,0.1488823344244408,0.4574228770799237,0.07065893665158372,0.2539206259426848,0.004487179487179487,0.1513305995475113
8/27/2022 22:33:05,19.0,Spotify,6.0,Yes,No,No,Rock,No,No,94.0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,2.0,0.0,0.0,0.0,Improve,I understand.,0.0,0.2727272727272727,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.2727272727272727,0.0,0.5136790909090908,0.6646139999999999,-8.224251818181816,0.74,0.0606281818181818,0.24063903200909093,0.05300302398181817,0.18321181818181817,0.4808551818181818,0.20843893480257114,0.3777502295684114,0.021818181818181813,0.2248576675849403
8/27/2022 22:44:03,18.0,I do not use a streaming service.,1.0,Yes,No,No,R&B,Yes,Yes,155.0,1,1,1,1,2,1,1,0,1,1,0,2,2,1,2,2,2.0,2.0,5.0,1.0,Improve,I understand.,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.5360311525192488,0.5614318601193257,-6.619865790613517,0.5459721950315455,0.07853305654181578,0.22017804285451115,0.03973442455725747,0.15690660994299965,0.43517449460841506,0.10288262477116966,0.29649464398690406,0.01001349527665317,0.14680835504364917
