Country,Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions,Frequency [Classical]_nor,Frequency [Country]_nor,Frequency [EDM]_nor,Frequency [Folk]_nor,Frequency [Gospel]_nor,Frequency [Hip hop]_nor,Frequency [Jazz]_nor,Frequency [K pop]_nor,Frequency [Latin]_nor,Frequency [Lofi]_nor,Frequency [Metal]_nor,Frequency [Pop]_nor,Frequency [R&B]_nor,Frequency [Rap]_nor,Frequency [Rock]_nor,Frequency [Video game music]_nor,weighted_danceability,weighted_energy,weighted_loudness,weighted_mode,weighted_speechiness,weighted_acousticness,weighted_instrumentalness,weighted_liveness,weighted_valence,weighted_metric_depression,weighted_metric_anxiety,weighted_metric_ocd,weighted_metric_insomnia
Singapore,,27.0585,Spotify,2.533333333333333,No,Yes,No,EDM,No,Yes,,0,0,0,0,0,0,0,10.0,0,0,0,78.0,10.0,0,2.0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.78,0.1,0.0,0.02,0.0,0.60022,0.56762,-7.564240000000001,0.9200000000000002,0.061966000000000014,0.35025476,0.0030831192000000006,0.142248,0.4363800000000001,0.32000000000000006,0.5800000000000001,0.0,0.4000000000000001
Indonesia,,24.214500000000008,Spotify,2.183333333333333,No,Yes,No,Pop,Yes,Yes,,0,0,0,0,0,0,0,4.0,0,0,0,94.0,2.0,0,0.0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.94,0.02,0.0,0.0,0.0,0.53698,0.49439999999999995,-7.74266,0.92,0.040069999999999995,0.5535719999999998,0.029306355399999998,0.150734,0.368416,0.19999999999999998,0.6,0.0,0.22
