,Unnamed: 0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,artist_name
978,978,0.711,0.48,10,-5.251,1,0.0365,0.104,1.55e-05,0.0894,0.352,107.948,audio_features,3h76tbaYIamSeJL81X7ZwI,spotify:track:3h76tbaYIamSeJL81X7ZwI,https://api.spotify.com/v1/tracks/3h76tbaYIamSeJL81X7ZwI,https://api.spotify.com/v1/audio-analysis/3h76tbaYIamSeJL81X7ZwI,186360,4,Pop,Cry,Benson Boone
979,979,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1,Pop,greedy,Tate McRae
980,980,0.215,0.383,3,-4.067,0,0.0394,0.556,0.0,0.105,0.0712,181.575,audio_features,5ytXEc1V6ZdSpFNsg81X8O,spotify:track:5ytXEc1V6ZdSpFNsg81X8O,https://api.spotify.com/v1/tracks/5ytXEc1V6ZdSpFNsg81X8O,https://api.spotify.com/v1/audio-analysis/5ytXEc1V6ZdSpFNsg81X8O,259903,4,Pop,I Forgive You,Sia
981,981,0.602,0.841,7,-5.553,1,0.0357,0.00888,0.00029,0.0623,0.563,130.052,audio_features,0sftzYE0YgPHXrvJyUyGjB,spotify:track:0sftzYE0YgPHXrvJyUyGjB,https://api.spotify.com/v1/tracks/0sftzYE0YgPHXrvJyUyGjB,https://api.spotify.com/v1/audio-analysis/0sftzYE0YgPHXrvJyUyGjB,144500,4,Pop,Deep In Your Love,Alok
982,982,0.743,0.837,5,-7.634,0,0.0633,0.00288,2.86e-05,0.104,0.378,126.023,audio_features,4ZnkygoWLzcGbQYCm3lkae,spotify:track:4ZnkygoWLzcGbQYCm3lkae,https://api.spotify.com/v1/tracks/4ZnkygoWLzcGbQYCm3lkae,https://api.spotify.com/v1/audio-analysis/4ZnkygoWLzcGbQYCm3lkae,156391,4,Pop,Rush,Troye Sivan
983,983,0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,audio_features,22dUzMFttcR3uU17NcOAIv,spotify:track:22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/tracks/22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/audio-analysis/22dUzMFttcR3uU17NcOAIv,179162,4,Pop,Desire (with Sam Smith),Calvin Harris
984,984,0.754,0.557,4,-6.564,0,0.0544,0.484,0.0232,0.198,0.459,85.974,audio_features,3SOaoZ1AfhMjEMCJrdGKEw,spotify:track:3SOaoZ1AfhMjEMCJrdGKEw,https://api.spotify.com/v1/tracks/3SOaoZ1AfhMjEMCJrdGKEw,https://api.spotify.com/v1/audio-analysis/3SOaoZ1AfhMjEMCJrdGKEw,213632,4,Pop,Incredible (feat. Labrinth),Sia
985,985,0.42,0.359,5,-6.932,1,0.0456,0.617,0.0,0.101,0.279,143.277,audio_features,0ZtWVho1KKMD9w55XYoDPl,spotify:track:0ZtWVho1KKMD9w55XYoDPl,https://api.spotify.com/v1/tracks/0ZtWVho1KKMD9w55XYoDPl,https://api.spotify.com/v1/audio-analysis/0ZtWVho1KKMD9w55XYoDPl,212307,4,Pop,All Out Of Fight,P!nk
986,986,0.621,0.66,11,-6.208,0,0.0366,0.00526,0.0,0.072,0.407,119.937,audio_features,2Z5EUCXngeoYD7wmJBcJv1,spotify:track:2Z5EUCXngeoYD7wmJBcJv1,https://api.spotify.com/v1/tracks/2Z5EUCXngeoYD7wmJBcJv1,https://api.spotify.com/v1/audio-analysis/2Z5EUCXngeoYD7wmJBcJv1,149653,4,Pop,UNHEALTHY (feat. Shania Twain),Anne-Marie
987,987,0.714,0.581,0,-6.0,0,0.0265,0.0614,0.0411,0.402,0.421,109.998,audio_features,7sVbKoBdhXtYCEOO6qC1SN,spotify:track:7sVbKoBdhXtYCEOO6qC1SN,https://api.spotify.com/v1/tracks/7sVbKoBdhXtYCEOO6qC1SN,https://api.spotify.com/v1/audio-analysis/7sVbKoBdhXtYCEOO6qC1SN,252920,4,Pop,We Still Don't Trust You,Future
