Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,BPM,Music effects,Frequency _Classical__nor,Frequency _Country__nor,Frequency _EDM__nor,Frequency _Folk__nor,Frequency _Gospel__nor,Frequency _Hip hop__nor,Frequency _Jazz__nor,Frequency _K pop__nor,Frequency _Latin__nor,Frequency _Lofi__nor,Frequency _Metal__nor,Frequency _Pop__nor,Frequency _R_B__nor,Frequency _Rap__nor,Frequency _Rock__nor,Frequency _Video game music__nor,weighted_danceability,weighted_energy,weighted_loudness,weighted_mode,weighted_speechiness,weighted_acousticness,weighted_instrumentalness,weighted_liveness,weighted_valence,weighted_metric_depression,weighted_metric_anxiety,weighted_metric_ocd,weighted_metric_insomnia,Foreign languages_Yes,Fav genre_Classical,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R_B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music
27.0585,2.533333333,0,1,0,0,123.64,0,0,0,0,0,0,0,0,0.1,0,0,0,0.78,0.1,0,0.02,0,0.60022,0.56762,-7.56424,0.92,0.061966,0.35025476,0.003083119,0.142248,0.43638,0.32,0.58,0,0.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24.2145,2.183333333,0,1,0,1,121.06,0,0,0,0,0,0,0,0,0.04,0,0,0,0.94,0.02,0,0,0,0.53698,0.4944,-7.74266,0.92,0.04007,0.553572,0.029306355,0.150734,0.368416,0.2,0.6,0,0.22,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
